,Confirmed,Deaths,Recovered,Active,Incident_Rate,Case_Fatality_Ratio,Day
0,7.67614055934501e-07,0.0,0.0007156488549618321,0.02847739460914607,0.0,0.0,2020-11-09
1,5.4756469323327735e-05,8.008613708966978e-05,0.04341603053435114,0.028483281329702678,0.025439688946508977,0.5467289719626165,2020-11-09
2,1.8166865990449857e-05,8.898459676629975e-06,0.016698473282442748,0.02847739460914607,0.016884894359182424,0.18309859154929556,2020-11-09
3,6.396783799454175e-05,8.898459676629975e-06,0.05629770992366412,0.028480721885982413,0.02832860349804381,0.05200000000000002,2020-11-09
4,0.00024333365573123682,0.00042712606447823883,0.1827290076335878,0.02851245898811369,0.04227051134546693,0.6561514195583595,2020-11-09
5,0.2647521348626252,0.3858906023367355,0.0,0.2822058002625477,0.14372018104145762,0.5448474352184384,2020-11-09
6,3.326327575716171e-06,0.0,0.003101145038167939,0.02847739460914607,0.027765791896386123,0.0,2020-11-09
7,0.00020597643834242442,0.0,0.16507633587786258,0.028506316323185055,0.18623746477839803,0.0,2020-11-09
8,9.134607265620561e-05,0.00022246149191574937,0.07848282442748092,0.02847816244226215,0.03142869591059082,0.9103641456582636,2020-11-09
9,3.326327575716171e-06,8.898459676629975e-06,0.0028625954198473282,0.02847739460914607,0.018868843751318386,0.9999999999999999,2020-11-09
10,0.01110174621962871,0.00703868160421431,0.0,0.0393798570243549,0.1796779256840723,0.23700101410528276,2020-11-09
11,5.11742703956334e-07,0.0,0.00047709923664122136,0.02847739460914607,,,2020-11-09
12,0.019025314376336606,0.027051317416955125,0.0,0.046730067500209235,0.10540512249151711,0.5315042700558138,2020-11-09
13,0.00018090104584856406,5.3390758059779854e-05,0.16579198473282442,0.02847893027537823,0.1419578105824861,0.1103253182461104,2020-11-09
14,0.0,0.0,0.0,0.02847739460914607,,,2020-11-09
15,0.015585635791694108,0.01816175620000178,0.0,0.04354509573471264,0.1509745791727227,0.43559561334384045,2020-11-09
16,7.67614055934501e-07,0.0,0.0007156488549618321,0.02847739460914607,0.0,0.0,2020-11-10
17,5.4756469323327735e-05,8.008613708966978e-05,0.04341603053435114,0.028483281329702678,0.025439688946508977,0.5467289719626165,2020-11-10
18,1.8166865990449857e-05,8.898459676629975e-06,0.016698473282442748,0.02847739460914607,0.016884894359182424,0.18309859154929556,2020-11-10
19,6.473545205047624e-05,8.898459676629975e-06,0.05629770992366412,0.02848148971909849,0.02868740877112006,0.05138339920948612,2020-11-10
20,0.0002487069541227783,0.00042712606447823883,0.1827290076335878,0.02851783381992624,0.04323863888771654,0.6419753086419753,2020-11-10
21,0.2695169711791626,0.3899838937879853,0.0,0.2868542619472913,0.14633505203883013,0.5408922180133486,2020-11-10
22,3.326327575716171e-06,0.0,0.003101145038167939,0.02847739460914607,0.027765791896386123,0.0,2020-11-10
23,0.00020827928051022794,0.0,0.16746183206106868,0.028506060378813026,0.18833719609060984,0.0,2020-11-10
24,9.185781536016195e-05,0.00022246149191574937,0.07848282442748092,0.0284786743310062,0.031613572839641654,0.9052924791086348,2020-11-10
25,3.326327575716171e-06,8.898459676629975e-06,0.0028625954198473282,0.02847739460914607,0.018868843751318386,0.9999999999999999,2020-11-10
26,0.011233264094545488,0.00713656466065724,0.0,0.03950859704348418,0.18182511793693157,0.23748348594597124,2020-11-10
27,5.11742703956334e-07,0.0,0.00047709923664122136,0.02847739460914607,,,2020-11-10
28,0.01923819934118244,0.027398357344343694,0.0,0.046933031387226175,0.10660214796932607,0.5323659675209813,2020-11-10
29,0.00018192453125647672,5.3390758059779854e-05,0.16579198473282442,0.028479954052866335,0.14276985950190582,0.10970464135021095,2020-11-10
30,0.0,0.0,0.0,0.02847739460914607,,,2020-11-10
31,0.015699242671972414,0.018357522312887637,0.0,0.04365310425970778,0.15208652112674415,0.4371047656300937,2020-11-10
32,7.67614055934501e-07,0.0,0.0007156488549618321,0.02847739460914607,0.0,0.0,2020-11-11
33,5.4756469323327735e-05,8.008613708966978e-05,0.04341603053435114,0.028483281329702678,0.025439688946508977,0.5467289719626165,2020-11-11
34,1.8166865990449857e-05,8.898459676629975e-06,0.016698473282442748,0.02847739460914607,0.016884894359182424,0.18309859154929556,2020-11-11
35,6.473545205047624e-05,8.898459676629975e-06,0.05629770992366412,0.02848148971909849,0.02868740877112006,0.05138339920948612,2020-11-11
36,0.00025228915305047263,0.00042712606447823883,0.1827290076335878,0.028521417041134613,0.04388405724921634,0.6328600405679514,2020-11-11
37,0.27462672207816663,0.39423735751341443,0.0,0.29184312964683,0.14913920700701394,0.5366179073884279,2020-11-11
38,3.5821989276943377e-06,0.0,0.003101145038167939,0.028477650553518096,0.03002253249802983,0.0,2020-11-11
39,0.0002154436783656166,8.898459676629975e-06,0.16984732824427481,0.028510411433137477,0.1948696935063793,0.015439429928741134,2020-11-11
40,9.236955806411828e-05,0.00022246149191574937,0.07848282442748092,0.028479186219750256,0.03179844976869249,0.9002770083102499,2020-11-11
41,3.326327575716171e-06,8.898459676629975e-06,0.0028625954198473282,0.02847739460914607,0.018868843751318386,0.9999999999999999,2020-11-11
42,0.011435658333960217,0.00720775233807028,0.0,0.03970900148678086,0.18512945465290742,0.23560736580672595,2020-11-11
43,5.11742703956334e-07,0.0,0.00047709923664122136,0.02847739460914607,,,2020-11-11
44,0.01956085311602691,0.02796785876364801,0.0,0.04723939680054178,0.10841638970913128,0.5344678735872751,2020-11-11
45,0.00018320388801636758,5.3390758059779854e-05,0.16579198473282442,0.028481233774726465,0.14378492065118087,0.10893854748603349,2020-11-11
