,Confirmed,Deaths,Recovered,Active,Incident_Rate,Case_Fatality_Ratio
0,3,0,3.0,0.0,19.9973336888415,0.0
1,214,9,182.0,23.0,343.64813000819,4.20560747663551
2,71,1,70.0,0.0,234.811654595363,1.40845070422535
3,250,1,236.0,13.0,380.401704199635,0.4
4,951,48,766.0,137.0,557.77453240195,5.04731861198738
5,1034708,43366,0.0,991342.0,1848.44543849996,4.19113411706491
6,13,0,13.0,0.0,373.241458512776,0.0
7,805,0,692.0,113.0,2389.36214419281,0.0
8,357,25,329.0,3.0,419.841941857183,7.00280112044818
9,13,1,12.0,0.0,260.05201040208,7.69230769230769
10,43388,791,0.0,42597.0,2305.90986394558,1.82308472388679
11,2,0,2.0,0.0,,
12,74355,3040,0.0,71315.0,1360.99061007084,4.08849438504472
13,707,6,695.0,6.0,1826.0240714913,0.848656294200849
14,0,0,0.0,0.0,,
15,60912,2041,0.0,58871.0,1940.73790862168,3.35073548726031
16,3,0,3.0,0.0,19.9973336888415,0.0
17,214,9,182.0,23.0,343.64813000819,4.20560747663551
18,71,1,70.0,0.0,234.811654595363,1.40845070422535
19,253,1,236.0,16.0,384.96652465003,0.395256916996047
20,972,48,766.0,158.0,570.091320183696,4.93827160493827
21,1053330,43826,0.0,1009504.0,1881.71255439715,4.16070936933345
22,13,0,13.0,0.0,373.241458512776,0.0
23,814,0,702.0,112.0,2416.07550978006,0.0
24,359,25,329.0,5.0,422.193997553862,6.96378830083565
25,13,1,12.0,0.0,260.05201040208,7.69230769230769
26,43902,802,0.0,43100.0,2333.22704081633,1.82679604573824
27,2,0,2.0,0.0,,
28,75187,3079,0.0,72108.0,1376.21950103417,4.09512282708447
29,711,6,695.0,10.0,1836.35518363552,0.843881856540084
30,0,0,0.0,0.0,,
31,61356,2063,0.0,59293.0,1954.88434333779,3.36234435100072
32,3,0,3.0,0.0,19.9973336888415,0.0
33,214,9,182.0,23.0,343.64813000819,4.20560747663551
34,71,1,70.0,0.0,234.811654595363,1.40845070422535
35,253,1,236.0,16.0,384.96652465003,0.395256916996047
36,986,48,766.0,172.0,578.302512038194,4.86815415821501
37,1073300,44304,0.0,1028996.0,1917.38779360168,4.12783005683406
38,14,0,13.0,1.0,401.952339936836,0.0
39,842,1,712.0,129.0,2499.18375827372,0.118764845605701
40,361,25,329.0,7.0,424.546053250541,6.92520775623269
41,13,1,12.0,0.0,260.05201040208,7.69230769230769
42,44693,810,0.0,43883.0,2375.26573129252,1.81236435235943
43,2,0,2.0,0.0,,
44,76448,3143,0.0,73305.0,1399.30078890048,4.11129133528673
45,716,6,695.0,15.0,1849.2690738158,0.837988826815642
46,0,0,0.0,0.0,,
47,62284,2108,0.0,60176.0,1984.45166634805,3.38449682101342
48,3,0,3.0,0.0,19.9973336888415,0.0
49,220,9,188.0,23.0,353.283124307485,4.09090909090909
50,71,1,70.0,0.0,234.811654595363,1.40845070422535
51,253,1,236.0,16.0,384.96652465003,0.395256916996047
52,1003,48,766.0,189.0,588.27324500437,4.78564307078764
53,1104143,44773,0.0,1059370.0,1972.4870125694,4.05500012226677
54,14,0,13.0,1.0,401.952339936836,0.0
55,864,1,719.0,144.0,2564.48309637589,0.115740740740741
56,363,25,329.0,9.0,426.89810894722,6.8870523415978
57,13,1,12.0,0.0,260.05201040208,7.69230769230769
58,45241,825,0.0,44416.0,2404.38988095238,1.82356711832188
59,2,0,2.0,0.0,,
60,77660,3188,0.0,74472.0,1421.48518294804,4.1050733968581
61,716,6,695.0,15.0,1849.2690738158,0.837988826815642
62,0,0,0.0,0.0,,
63,63151,2142,0.0,61009.0,2012.07544765182,3.39187027917214
64,3,0,3.0,0.0,19.9973336888415,0.0
65,222,9,189.0,24.0,356.494789073916,4.05405405405405
66,71,1,70.0,0.0,234.811654595363,1.40845070422535
67,253,1,236.0,16.0,384.96652465003,0.395256916996047
68,1003,48,813.0,142.0,588.27324500437,4.78564307078764
69,1128683,45053,0.0,1083630.0,2016.3262899895,3.99164335778956
70,15,0,13.0,2.0,430.663221360896,0.0
71,876,1,729.0,146.0,2600.10091715888,0.114155251141553
72,363,25,329.0,9.0,426.89810894722,6.8870523415978
73,13,1,12.0,0.0,260.05201040208,7.69230769230769
74,45848,836,0.0,45012.0,2436.64965986395,1.82341650671785
75,2,0,2.0,0.0,,
76,79017,3244,0.0,75773.0,1446.32365054088,4.10544566359138
77,716,6,695.0,15.0,1849.2690738158,0.837988826815642
78,0,0,0.0,0.0,,
79,63948,2171,0.0,61777.0,2037.46893519404,3.3949458935385
80,3,0,3.0,0.0,19.9973336888415,0.0
81,222,9,189.0,24.0,356.494789073916,4.05405405405405
82,71,1,70.0,0.0,234.811654595363,1.40845070422535
83,254,1,240.0,13.0,386.488131466829,0.393700787401575
84,1003,48,815.0,140.0,588.27324500437,4.78564307078764
85,1152981,45449,0.0,1107532.0,2059.7332485369,3.94186894666955
86,15,0,13.0,2.0,430.663221360896,0.0
87,887,1,742.0,144.0,2632.75058620997,0.112739571589628
88,363,25,329.0,9.0,426.89810894722,6.8870523415978
89,13,1,12.0,0.0,260.05201040208,7.69230769230769
90,46359,846,0.0,45513.0,2463.80739795918,1.82488837119006
91,2,0,2.0,0.0,,
92,80135,3280,0.0,76855.0,1466.78747277287,4.0930929057216
93,720,6,695.0,19.0,1859.60018596002,0.833333333333333
94,0,0,0.0,0.0,,
95,64881,2191,0.0,62690.0,2067.19556490155,3.37695164994374
96,3,0,3.0,0.0,19.9973336888415,0.0
97,222,9,189.0,24.0,356.494789073916,4.05405405405405
98,71,1,70.0,0.0,234.811654595363,1.40845070422535
99,254,1,240.0,13.0,386.488131466829,0.393700787401575
100,1003,48,816.0,139.0,588.27324500437,4.78564307078764
101,1174979,45592,0.0,1129387.0,2099.03139135219,3.88023956172834
102,15,0,13.0,2.0,430.663221360896,0.0
103,902,1,754.0,147.0,2677.27286218871,0.110864745011086
104,363,25,329.0,9.0,426.89810894722,6.8870523415978
105,13,1,12.0,0.0,260.05201040208,7.69230769230769
106,46831,855,0.0,45976.0,2488.89243197279,1.82571373662745
107,2,0,2.0,0.0,,
108,81294,3280,0.0,78014.0,1488.00175717973,4.03473811105371
